round	UTS_p0.02_1s	CUTS_p0.02_4s	TS	CTS_4s
209	64.759376	13.448130	165.655600	73.632791
210	64.944976	13.498069	166.422080	73.698809
211	65.130192	13.548765	167.189680	73.763369
212	65.313056	13.598783	167.955680	73.827171
213	65.494976	13.648726	168.720080	73.885666
214	65.675136	13.699020	169.483920	73.944336
215	65.855296	13.748628	170.245280	74.002306
216	66.035344	13.798193	171.009440	74.056544
217	66.212576	13.848337	171.772720	74.110665
218	66.387600	13.897678	172.533040	74.165777
219	66.563248	13.947047	173.294240	74.216982
220	66.736976	13.996188	174.055360	74.265155
221	66.909968	14.045457	174.815520	74.312802
222	67.081632	14.095091	175.571840	74.360100
223	67.249888	14.144350	176.329040	74.405764
224	67.419968	14.192948	177.083520	74.451020
225	67.587744	14.241786	177.844240	74.493536
226	67.753520	14.290374	178.601920	74.535759
227	67.921184	14.339455	179.357360	74.577575
228	68.088064	14.388404	180.112320	74.616183
229	68.254144	14.436871	180.867120	74.655024
230	68.417648	14.485112	181.617200	74.694740
231	68.580544	14.533930	182.367760	74.729848
232	68.743808	14.582106	183.118560	74.766473
233	68.905200	14.630125	183.867440	74.803390
234	69.065760	14.678014	184.619360	74.838440
235	69.225552	14.726377	185.369520	74.870691
236	69.386688	14.774425	186.116000	74.901192
237	69.546432	14.822324	186.864720	74.931985
238	69.703968	14.869743	187.612320	74.961845
239	69.860272	14.917371	188.354720	74.992230
240	70.017696	14.964133	189.098720	75.022148
241	70.171968	15.011976	189.838320	75.049675
242	70.324128	15.058979	190.580560	75.075744
243	70.476848	15.106307	191.316320	75.101813
244	70.630672	15.153277	192.057840	75.128116
245	70.782384	15.199894	192.796640	75.153018
246	70.935440	15.245959	193.534160	75.178271
247	71.085648	15.292720	194.273760	75.202940
248	71.235504	15.339121	195.008880	75.225160
249	71.384864	15.385310	195.747040	75.247730
250	71.532752	15.431689	196.480560	75.270591
251	71.680544	15.478077	197.213200	75.291587
252	71.828656	15.524000	197.945680	75.312057
253	71.975072	15.569231	198.677760	75.333694
254	72.122128	15.614999	199.407200	75.353172
255	72.267136	15.660428	200.136880	75.372360
256	72.412160	15.706119	200.867440	75.389972
257	72.556224	15.752501	201.593440	75.407702
258	72.698176	15.797650	202.322160	75.425548
259	72.840704	15.843145	203.048240	75.443860
260	72.980384	15.887714	203.774000	75.461881
261	73.119616	15.933127	204.500400	75.477569
262	73.256656	15.978049	205.220720	75.492966
263	73.395696	16.023026	205.943600	75.506787
264	73.534112	16.068107	206.662720	75.522475
265	73.669392	16.113174	207.382000	75.537405
266	73.805712	16.157705	208.097760	75.552335
267	73.940800	16.202701	208.812880	75.566157
268	74.076176	16.246989	209.523440	75.579279
269	74.211216	16.291403	210.240080	75.593626
270	74.345824	16.335616	210.958240	75.605173
271	74.480640	16.380278	211.673520	75.618354
272	74.612736	16.424646	212.385920	75.630892
273	74.745168	16.468313	213.100640	75.642790
274	74.876896	16.511817	213.807920	75.654804
275	75.008336	16.555839	214.514880	75.665301
276	75.139200	16.599921	215.220880	75.674866
277	75.269216	16.643521	215.927280	75.684605
278	75.397168	16.686607	216.630720	75.694228
279	75.524496	16.730138	217.332720	75.703967
280	75.652032	16.773682	218.036400	75.713765
281	75.779232	16.817108	218.740720	75.721872
282	75.905808	16.860112	219.448640	75.730911
283	76.031968	16.903322	220.152480	75.739309
284	76.155392	16.946389	220.855200	75.750273
285	76.278592	16.989282	221.557680	75.757738
286	76.402224	17.032239	222.257760	75.766953
287	76.524928	17.074612	222.956640	75.774185
288	76.645824	17.117273	223.656000	75.782349
289	76.767376	17.160003	224.354640	75.788765
290	76.886640	17.202024	225.052320	75.796696
291	77.005760	17.244342	225.745120	75.803811
292	77.123968	17.286636	226.440960	75.810693
293	77.240880	17.328830	227.132480	75.818333
294	77.358256	17.371350	227.826080	75.825098
295	77.475936	17.413267	228.518480	75.830463
296	77.591312	17.455174	229.215520	75.836820
297	77.706960	17.496739	229.911520	75.843527
298	77.821360	17.539084	230.601200	75.848892
299	77.935600	17.580939	231.289440	75.853908
300	78.048992	17.622796	231.977920	75.858749
301	78.162864	17.664783	232.669680	75.863881
302	78.275472	17.706277	233.361440	75.869130
303	78.387552	17.747892	234.052640	75.874203
304	78.498016	17.789364	234.740000	75.878811
305	78.610208	17.831002	235.428080	75.883243
306	78.719728	17.872269	236.111360	75.887617
307	78.829472	17.913886	236.798080	75.892341
308	78.937920	17.954847	237.484160	75.897531
309	79.045632	17.996415	238.168800	75.902255
310	79.153808	18.038087	238.851120	75.907504
311	79.262096	18.079308	239.536480	75.912053
312	79.368912	18.120245	240.222960	75.916544
313	79.477024	18.161707	240.905680	75.920451
314	79.583312	18.203031	241.588160	75.924184
315	79.690224	18.243673	242.271040	75.927683
316	79.795488	18.284450	242.961680	75.930949
317	79.902224	18.325036	243.648400	75.934215
318	80.006880	18.365729	244.334480	75.938355
319	80.110512	18.406039	245.013120	75.942146
320	80.214336	18.446360	245.689520	75.945645
321	80.316128	18.486885	246.373520	75.948853
322	80.420016	18.527393	247.055040	75.951827
323	80.522352	18.568170	247.737760	75.954568
324	80.624864	18.608334	248.417520	75.957426
325	80.725424	18.648791	249.097200	75.960400
326	80.825936	18.688724	249.778560	75.963083
327	80.924720	18.729336	250.457360	75.965766
328	81.023776	18.769637	251.138400	75.968390
329	81.122192	18.809722	251.818960	75.970665
330	81.220224	18.849571	252.496720	75.973289
331	81.317616	18.889816	253.173840	75.975797
332	81.413824	18.930202	253.849600	75.978305
333	81.509424	18.970007	254.526640	75.980987
334	81.604688	19.010198	255.205200	75.983378
335	81.700608	19.050329	255.882640	75.985711
336	81.795808	19.090110	256.556640	75.987752
337	81.890128	19.130330	257.227680	75.989677
338	81.984064	19.170235	257.904400	75.991951
339	82.077408	19.209833	258.579600	75.993934
340	82.170528	19.250063	259.255600	75.995684
341	82.264176	19.290165	259.928160	75.998017
342	82.357408	19.330122	260.597360	75.999766
343	82.449024	19.369915	261.271440	76.001924
344	82.540944	19.409981	261.949600	76.003615
345	82.632208	19.449966	262.622240	76.005540
